,name,country,review_count,review_date,experience_date,title,content,star_rating
197,Fanny Zheng,US,1,"Dec 2, 2023","December 01, 2023",Great shipment from Korea,"Ordered an item from Korea and instead of paying a large international delivery, used Delivered Korea to consolidate items and deliver it altogether. Very diligent website use.",4
198,leliani,US,1,"Nov 24, 2023","November 24, 2023",If you’re in need of a Korean proxy use Delivered Korea!,"I’ve been using delivered Korea for a couple months now and absolutely love it. I mainly use the “we buy and ship” option and occasionally the “you buy and we ship” option.  Every time I reach out via email most of the time I receive a response within the day, I appreciate how communicative the staff are by responding and answering every single question I have.I would say the only feedback I have is that shipping can be a little slow. When I pay to have my package shipped the same day half of the time it isn’t.",5
199,Nina Soerensen,DK,26,"Nov 17, 2023","November 17, 2023","Abysmal Service, Irresponsible Attitude - Avoid Delivered Korea at All Costs!","I recently had the displeasure of dealing with Delivered Korea, and my experience has been nothing short of a nightmare. I entrusted them with the delivery of a package valued at over $300, and their incompetence and dismissive attitude have left me utterly infuriated.Firstly, let's talk about their alleged delivery partner, FedEx. According to Delivered Korea, my package was delivered by FedEx, but what they conveniently omit is the fact that the delivery was nothing short of a reckless abandonment. Despite the significant value of the package, FedEx left it at my door unattended, without any form of approval from me. This blatant disregard for security and customer satisfaction is unacceptable.Upon contacting Delivered Korea to address this issue, I was met with a dismissive and unhelpful response. Instead of taking responsibility for the lapse in their delivery process, they chose to deflect blame onto FedEx, as if washing their hands of the matter somehow absolves them of their duty to ensure a safe and secure delivery.What's even more infuriating is their refusal to acknowledge the lack of proper authorization for leaving the package unattended. I never approved such a delivery method, and the fact that they are trying to shift blame rather than address the core issue is indicative of their lack of commitment to customer satisfaction.It's apparent that Delivered Korea is more interested in absolving themselves of responsibility than ensuring the safe and secure delivery of valuable packages. Their customer service is a joke, and their dismissive attitude towards legitimate concerns is appalling. I wouldn't wish this experience on my worst enemy, and I strongly advise anyone considering their services to steer clear.In conclusion, Delivered Korea has proven to be a company that prioritizes passing the buck over providing reliable and secure delivery services. Save yourself the frustration and potential loss by choosing a more responsible and customer-centric courier service. Delivered Korea has lost my trust, and I can only hope that potential customers heed this warning and avoid the headache that comes with entrusting them with their valuable shipments.",1
200,Kat,CA,1,"Nov 16, 2023","October 26, 2023",Great company,"This company is very easy to navigate and use for all your Korean packages and services that you need. Some of the things I would change is if they offered to repackage and consolidate your packages as one option together and not separately. Considering how shipping overseas can be expensive, some items you buy only use large boxes so I would be grateful if they offered those services together. Also, I would be obliged to use their proxy service more often (like Bunjang) if they charge in their Korean Won currency instead of USD. The usage of USD is the only thing that's holding me back from using more of their services altogether. I wish the entirety of their site charged in Korean Won currency.",4
201,Daegu,IN,2,"Oct 24, 2023","October 06, 2023",The Best,"Received my most awaited 𝐋𝐀𝐘𝐎𝐕𝐄𝐑 𝐀𝐋𝐁𝐔𝐌 today ; a giveaway gift from @𝙙𝙚𝙡𝙞𝙫𝙚𝙧𝙚𝙙𝙠𝙤𝙧𝙚𝙖 . I'm grateful for receiving this LOVELY ALBUM in the best of its condition; well packed, and it safely reached home💝.Throughout, from the shipping date till today @𝙙𝙠𝙨𝙝𝙤𝙥 helped me and assisted me throughout. The best shop I must say, such wonderful service, very kind people. I'm so thankful to your team for helping me when I almost lost hope that I would receive layover due to sudden Indian custom issues.THANK YOU SO MUCH❣️I'm definitely recommending dk shop if anyone has to order anything.",5
202,Kimberly H,SG,1,"Oct 22, 2023","October 22, 2023",Super slow processing time,"Super slow processing time, took 2 days to register my package in their system (despite me already submitting the “Buy Me” form prior to this and courier records showing that it was delivered to them 2 days before).Thereafter took another 2 days to consolidate my package and then another 2 days just to wait for the label to be processed and for my package to be shipped out. All this is despite my timely (almost immediate) submission of consolidation request and payment.Total damage wasted is 6 days (almost a week and this is not inclusive of shipping time too!!!) *Face Palm* Seriously! Whatever happened to the efficiency we see in most Korean companies? Plenty of red tapes and useless procedure just to get things done. Don’t understand why they just can’t autogenerate a label upon confirmed payment. I definitely do not recommend this company if you need to ship something urgently out of South Korea.",1
203,Lynn,NL,1,"Oct 5, 2023","September 23, 2023",Good delivery,"Good delivery, it was very fast.",5
204,Lilly,US,1,"Sep 30, 2023","September 18, 2023",I love finally being able to purchase…,"I love finally being able to purchase from Bunjang with the help of Delivered Korea! I also love the events they have. I recently made a lot of purchases because they had a promo removing their service fees! The only negative thing is sometimes Bunjang buyers have their listing marked safe payment, but they don't actually accept safe payment so my order is cancelled.",5
205,I Purple You,IE,2,"Sep 13, 2023","September 13, 2023",100% legit company I bought from them…,100% legit company I bought from them many times and had not problem whatsoever 🤩Truly recommend it if you want Korean products.,5
206,Raluca,RO,1,"Sep 2, 2023","August 29, 2023",Best way to get korean products in Europe,"Truly one of the best services to receive skincare, makeup, kpop albums etc from Korea to Europe10/10 communication & delivery",5
207,Olivia Varghese,GB,1,"Aug 24, 2023","August 24, 2023",Amazing !,They were so sweet+ had great communication and i received my newjeans album safely! 💗 Thank you!!,5
208,Todayis WenRene,VN,1,"Aug 8, 2023","August 08, 2023",I am very happy to be the winner of the…,"I am very happy to be the winner of the award, I will always cherish this gift. Thank you very much ❤️",5
209,Ivy,FR,3,"Aug 5, 2023","August 05, 2023",Very well sealed package,"Received my package today. I bought two products from different sellers on Bunjang and I asked Deliveredkorea to put both products in one packaging. Came extremely well sealed with a cute little note from the person who did it. Fees for more services such as consolidation aren’t expensive.For me it’s a 10/10 experience, I’ll do my next purchases from Korea through them from now on. :)",5
210,Okok Ekek,CA,1,"Jul 24, 2023","July 23, 2023",Excellent customer service,Delivered Korea was really helpful with answering all of my questions. I’d totally recommend this proxy service to people trying to purchase products from South Korea. 👍 Thank you!,5
211,Manh Vu,NZ,1,"Jun 28, 2023","June 28, 2023",So I ordered on 13/06/23 and received…,So I ordered on 13/06/23 and received my package on today the 28th.So far these guys are really good at what they're doing (I sent an email asking for updates and they fulfilled my email by 2 business days). The shipping costs are transparent on the website and the website itself is very easy to use.Just a heads up if you want to cancel a repack request you totally can! (Even though they said no on the website). Just shoot them an email BEFORE the status change and they will literally sort it out for you ASAP.Thanks a lot DK!,5
212,뭐모,GB,1,"May 29, 2023","May 29, 2023",Too slow,"They have very slow communication, also slow order processing, I paid 1 week ago but still havent processed my order or replied my email",1
213,Milyn,PH,1,"May 29, 2023","May 29, 2023",One of the winners in DK shop's giveaway ><,"Hello, it's Milyn! First of all, I would like to thank Delivered Korea for hosting a giveaway in which I am one of the winners. I'm so happy to have this album, and I will forever treasure this. The parcel was secure with thick plastic bubbles, and the album was in good condition. Though, I received the package just now when it supposedly would arrive last Friday (May 26, 2023). The delivery man was not able to deliver the package due to vehicle problems, which is understandable.Thank you so much, Delivered Korea! God bless you and more customers to come. Bye-bye~",5
214,Lou,FR,1,"May 18, 2023","May 18, 2023",Nice!,Bought something twice with delivered korea and everything arrived in réal my good conditions! Will use their services again for sure!,5
215,LJ,GB,2,"May 6, 2023","May 03, 2023",Best proxy I've used.,Best proxy I've used.I've been using delivered Korea for 7 months and have used both the 'we buy' and 'you buy' options and both were very straightforward and easy to do. Communication has always been fantastic especially as I had a few questions to ask about a product I wanted to purchase. I've used a few other proxy services before trying Delivered Korea and won't be using any more as I've found the perfect one for me. I highly recommend.,5
216,Ashley,US,14,"Feb 28, 2023","February 21, 2023",Very Well-run Company - Outstanding!,Absolutely outstanding from start to finish. Smooth as can be. I have no complaints and look forward to using them again. This company is extremely well run and is a dream to work with. Thanks so much for the great experience!,5
217,Volky,NL,1,"Updated Jan 19, 2023","January 18, 2023",Terrible bot-like communication,"Terrible bot-like communication. Made one order from the same Korean company, calculated and paid shipping cost, they ship me one item and kept the other in the warehouse. Paid $35 for one box of cookies, it is a joke. BEWARE: expect nothing communication-wise as a first-time customer.UPDATE: Their way of solving the issue is:“Thank you for reaching out to Delivered support team. We’ve added $1 on your account of DK points. Please proceed checkout of your package.”Basically I have a remaining balance left of $35 and my next shipping cost would be $36. So they’re making me pay for the shipment. Luckily we have PayPal, so I reported this and PayPal is further handling the refund case.UPDATE 2: They’re now making excuses that I should have mentioned that they should be shipped together. I made 1 order with 2 items, not 2 seperate orders. Note that I contacted them on Facebook messenger that I want to ship them together (wish I could provide screenshots here) and this was BEFORE they were shipped. Their customer support agent did not contact me through email either.These people do not represent the good quality service of Koreans! My complaint still stands.",1
218,LR.,US,2,"Jan 18, 2023","January 17, 2023",Best way to get Korean products,"Best way to get Korean products, hands down. If you can purchase and use their (free) Korean address they give you a lot of shipping options to get the package overseas, they consolidate and ship items quicker than other services I’ve used and their customer service responds quickly and in detail. Highly recommend! So far I’ve found quicker ways to purchase the items myself but their buyer service seems very simple too",5
219,Lily Smith,DE,1,"Jan 4, 2023","January 03, 2023",Best proxy I’ve used so far,"Extremely accommodating when it comes to requests such as delaying shipment due to holidays/not being at home for a while and packing items together, even after the initial package already had been sealed. Reasonable shipping prices for overseas customers. Highly recommend this proxy!",5
220,OCBK,DE,1,"Dec 28, 2022","December 27, 2022",Great customer service,"I've had several packages arrive from delivered and they have always arrived well. But my experiece today was exceptional! Their customer service is top notch and considering it is the holidays with an influx of packages to scan into their system while having to simultaneously move locations, they were able to promptly address my questions and concerns about consolidation.",5
221,Maryam Zahra,PK,2,"Dec 21, 2022","December 20, 2022",Truly professional and cooperative,"Delivered Korea is probably the most professional warehouse I have ever used. Their team is super cooperative and would fully compensate if there ever arises an issue. I have been using their service for more than 2 years and they have always helped with my queries. Their shipping, consolidation and every service is timely and professionally held. Thank you delivered for your hard work and great service.",5
222,skipintro,HR,8,"Dec 17, 2022","November 07, 2022",Effortless order and great…,"Effortless order and great communication. I had a special request for repackaging my order and sent my inquiry directly to DK mail. They were very helpful and order came to Croatia in excellent condition!I would highly recomend using DeliveredKorea, and most certainly will be using their service again!",5
223,Abi S,GB,2,"Nov 22, 2022","November 22, 2022",Amazing company :),I was sceptical ordering from this company as I’ve never heard of it before. However I couldn’t be far more wrong! My sister likes Korean pop music so i decided to make an order with the company. I placed the order on the 6th october using we buy we ship. Super easy to use and with a small fee. I did receive my parcel on 17th November using Koreanpost which was the cheapest option for me. However I’m still stoked at how quick I received the parcel. I couldn’t be happier and will be using this service again :),5
224,Elizabeth Mn,MX,1,"Nov 16, 2022","November 15, 2022",Great service,"It is a great service, they are always attentive and answer my questions and the services are super safe and reliable, always taking care of the packages and ensuring the best customer service.",5
225,alina pekach,AM,1,"Nov 8, 2022","November 08, 2022",cool,"the team is great! my shipping experience was wonderful, thanks a lot!",5
226,salma harfoush,EG,1,"Oct 13, 2022","October 12, 2022",Thank you Delivered Korea Team,There was a problem in the customs of my country that they won't let the shipment enter the country but Delivered Team helped me a lot to return the shipment to Korea and resend it 💙,5
227,Ana Carolina Palmerio A,BR,1,"Oct 8, 2022","October 07, 2022",I had quite a great experience with…,"I had quite a great experience with Delivered Korea. I was impressed when I ordered from Delivered Korea because I had to use some extra services (changing my box because it came huge and I couldn’t use K-packet initially) and since I never used their site before I was expecting it would be harder to deal with needing a personalized service but I was wrong, they were very polite and helped me all the way so I felt very confident by their seriousness at their work. Their support team is so helpful that this fact by itself would be a good experience, but I also had a smooth and easy delivery to my country. Even though I asked them to change the original box all my items came intact and with proper care. If you’re questioning if their service is worth I would say “go for it” because they have a great support team and this is a trustworthy company even if you’re a beginner buying from overseas like I am.",5
228,Chelsea Love,US,4,"Sep 11, 2022","April 15, 2022",No refund for a lost package…,I couldn't get a refund for a package that was lost in the mail by USPS and both sent me back and forth blaming the other for the mishap. I waited months to see if the package would show up. Wasted $45 for nothing.,1
229,Joseline Alfaro,PE,2,"Aug 17, 2022","August 17, 2022",Great experience,"I only have the best opinions for Delivered, their app is so easy to use, and they always answered my questions, and shipping to Peru was no problem, I will continue to use Delivered, thanks for bringing Korea closer to countries on the other side of the world.",5
230,Angélica Zaira,BR,1,"Jul 13, 2022","July 13, 2022",Delivered is the best,"Delivered is the best! The website is really easy to use, their services is incredible, they take good care of the packages and ship them safely, they also have a lot of shipping options so you can choose the best option for you and they always answer all my inquiries. Delivered was the best discovery of the year. Now I have a safe place in Korea that I can send all my stuffs and ship to my country safely without expensive fees and cheaper shipping!",5
231,Jim Grice,CA,2,"Jun 11, 2022","June 11, 2022",Very satisfied,I just want to say thank you for the service you provided and for the responsive communication you gave during my current order with Delivered.Very much appreciated. I will recommend your service to my fellow Tesla owners.JG,5
232,Fiona Chung,HK,1,"Jun 7, 2022","June 07, 2022",i waited for a few days after paying…,"i waited for a few days after paying for my goods, but i have not heard back from them. Not sure what's going on.",1
233,Jennilyn Mendoza,PH,1,"May 31, 2022","May 31, 2022",Thank you so much I already received my…,Thank you so much I already received my package safe and sound super fast delivery 🚚🤗💜 5star for this shop.Army Bomb is so pretty we purple you 💜💜💜,5
234,Amn RB,PL,1,"Apr 13, 2022","April 13, 2022",The best Korean adress,"Very fast and good parcels. Easy contact with the customer service department and quick problem solving. I used other companies, but I stayed with this one for longer. For this cheap shipping. Delivered is the best",5
235,Francisco,PT,3,"Apr 12, 2022","April 12, 2022",Safe and Fast,"I already used this service 2 times to ship kpop and drama related stuff from Korea to me. Since a lot of the items ship at different times and I want to use different stores, the shipping to Portugal combined would be really expensive. With Delivered Korea I can send all the stuff I buy for the address they assign to me. When everything that I want arrives, I can consolidate all the packages into one and just have to pay for the shipping one time.Both times, everything arrived safely and fast.",5
236,Leslie Huynh,US,1,"Mar 30, 2022","March 30, 2022",I appreciate the consolidation and…,I appreciate the consolidation and repackaging options Delivered has and how the service notifies you of incoming packages :) Highly recommend!,5
237,XtineTinayL,AE,1,"Mar 13, 2022","March 13, 2022",I really super love your services…,I really super love your services and it's SUPERB! More than 101% service assistance to all my Kpop merchandise needs from South Korea. My packages arrived super safe to me. Thank you so much Delivered!.,5
238,Juhyun Lee,CA,1,"Feb 5, 2022","February 05, 2022",Quick and easy delivery,Quick and easy delivery! I emailed them a few times and they responded very quickly. It's also nice that they offer various delivery options.,5
239,KT,US,2,"Updated Jan 26, 2022","January 26, 2022",Highly recommend!,"Unbeatable, fast service! There were multiple instances where I requested an item that was quickly selling out. The DELIVERED team was able to get it each and every time. It's also clear that they listen to customer feedback -- the site just keeps getting better and better. I do wish that they didn't charge for photos and that they'd add more packing materials in their boxes. However, I'm overall very satisfied with my experience. They've gotten themselves a lifelong customer :)(Also -- I can't get over how cute their mascot is. A box dog!)*Note: the shipping costs ARE high but that is out of their control. If you are from the USA in particular, international shipping will be AT LEAST $10 (most likely more) for a light item. The pandemic has led to significant delays and an increase in shipping charges all across the board. I knew this going in and it does not affect my rating. DELIVERED has a shipping calculator on their site as well and it's been pretty accurate for me so far.",5
240,Calvin Chan,NL,1,"Jan 22, 2022","January 22, 2022",Fast delivery,Fast delivery! the best way to shop on koreanclothing brands. highly recommended,5
